user_played, instrument_name, velocity, pitch, start (s), end (s)
True,guitar-acoustic,126,67,0.0,0.13043475
False,flute,126,59,0.0,0.39130425
False,xylophone,126,55,0.0,0.39130425
True,guitar-acoustic,126,67,0.13043475,0.39130425
False,piano,126,60,0.2608695,0.521739
True,guitar-acoustic,126,67,0.39130425,0.65217375
False,flute,126,59,0.39130425,1.043478
False,xylophone,126,55,0.39130425,1.043478
True,guitar-acoustic,126,71,0.65217375,1.043478
False,piano,126,60,0.7826085,1.043478
True,guitar-acoustic,126,67,1.043478,1.17391275
False,flute,126,60,1.043478,1.43478225
False,xylophone,126,60,1.043478,1.43478225
True,guitar-acoustic,126,67,1.17391275,1.43478225
False,piano,126,60,1.3043475,1.565217
True,guitar-acoustic,126,67,1.43478225,1.69565175
False,flute,126,61,1.43478225,2.086956
False,xylophone,126,49,1.43478225,2.086956
True,guitar-acoustic,126,70,1.69565175,1.8260865
True,guitar-acoustic,126,71,1.8260865,2.086956
False,piano,126,60,1.8260865,2.086956
True,guitar-acoustic,126,67,2.086956,2.21739075
False,flute,126,62,2.086956,2.608695
False,xylophone,126,50,2.086956,2.608695
True,guitar-acoustic,126,67,2.21739075,2.3478255
True,guitar-acoustic,126,64,2.3478255,2.608695
False,piano,126,60,2.3478255,2.608695
True,guitar-acoustic,126,62,2.608695,2.8695645
True,guitar-acoustic,126,60,2.8695645,2.99999925
False,piano,126,60,2.8695645,3.130434
True,guitar-acoustic,126,62,2.99999925,3.3913035
True,guitar-acoustic,126,70,3.3913035,3.9130425
False,xylophone,126,50,3.3913035,4.173912
True,guitar-acoustic,126,71,3.9130425,4.173912
False,xylophone,126,55,4.173912,4.56521625
True,guitar-acoustic,126,71,4.4347815,4.9565205
False,piano,126,60,4.4347815,4.695651
False,xylophone,126,55,4.56521625,5.21739
True,guitar-acoustic,126,69,4.9565205,5.21739
False,piano,126,60,4.9565205,5.21739
True,guitar-acoustic,126,69,5.21739,5.60869425
False,xylophone,126,60,5.21739,5.60869425
False,piano,126,60,5.4782595,5.739129
True,guitar-acoustic,126,67,5.60869425,6.260868
False,xylophone,126,60,5.60869425,6.260868
False,piano,126,60,5.9999985,6.260868
False,xylophone,126,57,6.260868,6.65217225
True,guitar-acoustic,126,67,6.5217374999999995,7.0434765
False,piano,126,60,6.5217374999999995,6.782607
False,xylophone,126,57,6.65217225,7.304346
True,guitar-acoustic,126,64,7.0434765,7.304346
False,piano,126,60,7.0434765,7.304346
True,guitar-acoustic,126,71,7.304346,7.69565025
False,xylophone,126,50,7.304346,7.69565025
False,piano,126,60,7.5652155,7.826085
True,guitar-acoustic,126,69,7.69565025,8.347824
False,xylophone,126,60,7.69565025,8.347824
False,piano,126,60,8.0869545,8.347824
False,xylophone,126,59,8.347824,8.73912825
True,guitar-acoustic,126,74,8.6086935,9.1304325
False,piano,126,60,8.6086935,8.869563
False,xylophone,126,59,8.73912825,9.391302
True,guitar-acoustic,126,76,9.1304325,9.391302
False,piano,126,60,9.1304325,9.391302
True,guitar-acoustic,126,69,9.391302,9.913041
False,xylophone,126,52,9.391302,9.78260625
False,piano,126,60,9.6521715,9.913041
True,guitar-acoustic,126,67,9.78260625,10.43478
False,xylophone,126,52,9.78260625,10.108693125
False,xylophone,126,52,10.108693125,10.1739105
False,xylophone,126,54,10.1739105,10.369562625
False,piano,126,60,10.1739105,10.43478
False,xylophone,126,55,10.369562625,10.43478
True,guitar-acoustic,126,67,10.43478,10.6956495
False,xylophone,126,57,10.43478,10.6956495
True,guitar-acoustic,126,67,10.6956495,10.956519
False,xylophone,126,59,10.6956495,10.956519
True,guitar-acoustic,126,67,10.956519,11.2173885
False,xylophone,126,60,10.956519,11.2173885
True,guitar-acoustic,126,61,11.2173885,11.478258
False,xylophone,126,61,11.2173885,11.478258
True,guitar-acoustic,126,64,11.478258,11.86956225
False,xylophone,126,50,11.478258,11.86956225
True,guitar-acoustic,126,62,11.86956225,12.521736
False,xylophone,126,50,11.86956225,12.521736
False,flute,126,62,12.521736,12.782605499999999
False,xylophone,126,55,12.521736,12.91304025
True,guitar-acoustic,126,71,12.782605499999999,13.3043445
False,flute,126,62,12.782605499999999,12.91304025
False,piano,126,60,12.782605499999999,13.043474999999999
False,flute,126,62,12.91304025,13.043474999999999
False,xylophone,126,55,12.91304025,13.43477925
False,flute,126,62,13.17390975,13.3043445
True,guitar-acoustic,126,69,13.3043445,13.565214
False,flute,126,62,13.3043445,13.43477925
False,piano,126,60,13.3043445,13.565214
False,xylophone,126,55,13.43477925,13.565214
True,guitar-acoustic,126,69,13.565214,13.95651825
False,flute,126,64,13.565214,13.8260835
False,xylophone,126,60,13.565214,13.95651825
False,flute,126,64,13.8260835,13.95651825
False,piano,126,60,13.8260835,14.086953
True,guitar-acoustic,126,67,13.95651825,14.608692
