user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,49,74,0.0,1.7091666666666667
False,piano,49,58,0.0,0.19916666666666666
False,piano,49,65,0.2,0.39916666666666667
False,piano,49,69,0.4,0.5991666666666666
False,piano,49,65,0.6,0.7991666666666667
False,piano,49,69,0.8,0.9991666666666666
False,piano,49,65,1.0,1.1891666666666667
False,piano,49,58,1.2,2.339166666666667
True,piano,49,81,1.8,1.9891666666666667
True,piano,49,79,2.0,2.1891666666666665
True,piano,49,77,2.2,2.3891666666666667
True,piano,49,76,2.4,3.1591666666666667
False,piano,49,58,2.4,2.5991666666666666
False,piano,49,64,2.6,2.799166666666667
False,piano,49,67,2.8,2.9991666666666665
False,piano,49,64,3.0,3.1991666666666667
True,piano,49,77,3.2,3.3891666666666667
False,piano,49,67,3.2,3.3991666666666664
True,piano,49,79,3.4,3.589166666666667
False,piano,49,64,3.4,3.589166666666667
True,piano,49,76,3.6,4.1691666666666665
False,piano,49,58,3.6,4.739166666666667
True,piano,49,72,4.2,4.769166666666667
True,piano,49,74,4.8,6.509166666666666
False,piano,49,58,4.8,4.9991666666666665
False,piano,49,65,5.0,5.199166666666667
False,piano,49,69,5.2,5.399166666666667
False,piano,49,65,5.4,5.599166666666667
False,piano,49,69,5.6,5.799166666666666
False,piano,49,65,5.8,5.989166666666667
False,piano,49,60,6.0,6.189166666666667
False,piano,49,67,6.2,6.389166666666667
False,piano,49,70,6.4,7.159166666666667
True,piano,49,81,6.6,6.789166666666667
True,piano,49,79,6.8,6.989166666666667
True,piano,49,77,7.0,7.189166666666667
True,piano,49,76,7.2,7.9591666666666665
False,piano,49,53,7.2,7.399166666666667
False,piano,49,64,7.4,7.599166666666667
False,piano,49,69,7.6,7.799166666666666
False,piano,49,64,7.8,7.9991666666666665
True,piano,49,77,8.0,8.189166666666667
False,piano,49,69,8.0,8.199166666666667
True,piano,49,79,8.2,8.389166666666666
False,piano,49,64,8.2,8.389166666666666
True,piano,49,81,8.4,8.779166666666667
False,piano,49,53,8.4,8.599166666666667
False,piano,51,63,8.6,8.799166666666666
True,piano,54,82,8.8,9.179166666666667
False,piano,54,69,8.8,8.999166666666667
False,piano,56,63,9.0,9.199166666666667
True,piano,59,84,9.2,9.579166666666667
False,piano,59,69,9.2,9.399166666666666
False,piano,61,63,9.4,9.589166666666667
True,piano,64,86,9.6,11.309166666666666
False,piano,64,58,9.6,9.789166666666667
False,piano,64,65,9.8,9.989166666666666
False,piano,64,70,10.0,10.189166666666667
False,piano,64,74,10.2,10.769166666666667
False,piano,64,52,10.8,10.989166666666666
False,piano,64,62,11.0,11.189166666666667
False,piano,64,68,11.2,11.389166666666666
True,piano,64,89,11.4,11.589166666666667
False,piano,64,71,11.4,11.969166666666666
True,piano,64,88,11.6,11.789166666666667
True,piano,64,86,11.8,11.989166666666666
True,piano,64,84,12.0,12.759166666666667
False,piano,64,57,12.0,12.189166666666667
False,piano,64,63,12.2,12.389166666666666
False,piano,64,67,12.4,12.589166666666667
False,piano,64,72,12.6,13.169166666666667
True,piano,64,86,12.8,12.989166666666666
True,piano,64,87,13.0,13.189166666666667
True,piano,64,86,13.2,13.769166666666667
False,piano,64,50,13.2,13.389166666666666
False,piano,64,57,13.4,13.589166666666667
False,piano,64,60,13.6,13.789166666666667
True,piano,64,81,13.8,14.369166666666667
False,piano,64,66,13.8,14.369166666666667
True,piano,64,82,14.4,14.969166666666666
False,piano,64,55,14.4,14.599166666666667
False,piano,64,62,14.6,14.799166666666666
False,piano,64,67,14.8,14.989166666666666
True,piano,64,81,15.0,15.569166666666666
False,piano,64,53,15.0,15.199166666666667
False,piano,64,62,15.2,15.399166666666666
False,piano,64,67,15.4,15.589166666666667
True,piano,64,79,15.6,16.169166666666666
False,piano,64,52,15.6,15.799166666666666
False,piano,64,62,15.8,15.999166666666667
False,piano,64,67,16.0,16.189166666666665
True,piano,64,74,16.2,16.769166666666667
True,piano,64,81,16.8,17.36916666666667
False,piano,64,45,16.8,16.999166666666667
False,piano,64,55,17.0,17.199166666666667
False,piano,64,57,17.2,17.389166666666668
True,piano,80,62,17.4,17.599166666666665
True,piano,65,67,17.6,17.799166666666668
True,piano,49,69,17.8,17.989166666666666
True,piano,33,74,18.0,18.199166666666667
True,piano,33,76,18.2,18.399166666666666
True,piano,33,81,18.4,18.589166666666667
True,piano,33,86,18.6,18.799166666666668
True,piano,33,88,18.8,18.999166666666667
True,piano,33,93,19.0,19.189166666666665
True,piano,33,105,19.2,19.579166666666666
True,piano,64,86,21.6,22.169166666666666
False,piano,64,38,21.6,22.739166666666666
False,piano,64,45,21.6,22.739166666666666
False,piano,64,50,21.6,22.739166666666666
True,piano,64,84,22.2,22.389166666666668
