user_played, instrument_name, velocity, pitch, start (s), end (s)
True,guitar-acoustic,96,64,0.5,0.9989583333333333
True,guitar-acoustic,115,68,1.0,1.1239583333333334
True,guitar-acoustic,96,64,1.25,1.3739583333333334
True,guitar-acoustic,96,59,1.375,1.4989583333333334
False,xylophone,96,88,1.5,2.4989583333333334
True,guitar-acoustic,96,61,1.5,1.8739583333333334
False,bass-electric,80,33,1.5,2.4989583333333334
False,piano,64,56,1.5,2.4989583333333334
False,piano,64,61,1.5,2.4989583333333334
False,piano,64,64,1.5,2.4989583333333334
False,piano,64,45,1.5,2.4989583333333334
False,harp,80,64,1.75,1.8739583333333334
False,piano,80,42,1.75,1.9989583333333334
True,guitar-acoustic,96,61,1.875,2.2489583333333334
False,harp,80,64,1.875,1.9989583333333334
False,harp,80,64,2.125,2.2489583333333334
True,guitar-acoustic,96,59,2.25,2.4989583333333334
False,harp,80,64,2.25,2.3739583333333334
False,piano,80,42,2.25,2.4989583333333334
False,xylophone,96,88,2.5,2.8739583333333334
True,guitar-acoustic,96,64,2.5,2.8739583333333334
False,harp,80,71,2.5,2.6239583333333334
False,bass-electric,80,35,2.5,2.8739583333333334
False,piano,64,57,2.5,2.8739583333333334
False,piano,64,61,2.5,2.8739583333333334
False,piano,64,64,2.5,2.8739583333333334
False,piano,64,47,2.5,2.8739583333333334
False,harp,80,64,2.75,2.8739583333333334
False,piano,80,42,2.75,2.9989583333333334
False,xylophone,96,88,2.875,3.0614583333333334
True,guitar-acoustic,96,64,2.875,2.9989583333333334
False,bass-electric,80,35,2.875,3.0614583333333334
False,piano,64,57,2.875,3.0614583333333334
False,piano,64,61,2.875,3.0614583333333334
False,piano,64,64,2.875,3.0614583333333334
False,piano,64,47,2.875,3.0614583333333334
False,harp,80,64,3.0,3.1239583333333334
False,harp,80,64,3.125,3.2489583333333334
True,guitar-acoustic,96,64,3.25,3.3739583333333334
False,piano,80,42,3.25,3.4989583333333334
True,guitar-acoustic,96,59,3.375,3.4989583333333334
False,xylophone,96,88,3.5,4.498958333333333
True,guitar-acoustic,96,61,3.5,3.8739583333333334
False,bass-electric,80,32,3.5,4.498958333333333
False,piano,64,54,3.5,4.498958333333333
False,piano,64,59,3.5,4.498958333333333
False,piano,64,63,3.5,4.498958333333333
False,piano,64,44,3.5,4.498958333333333
False,harp,80,64,3.75,3.8739583333333334
False,piano,80,42,3.75,3.9989583333333334
True,guitar-acoustic,96,61,3.875,4.248958333333333
False,harp,80,64,3.875,3.9989583333333334
False,harp,80,64,4.125,4.248958333333333
True,guitar-acoustic,96,59,4.25,4.498958333333333
False,harp,80,64,4.25,4.373958333333333
False,piano,80,42,4.25,4.498958333333333
False,xylophone,96,88,4.5,4.873958333333333
True,guitar-acoustic,96,64,4.5,4.873958333333333
False,harp,80,71,4.5,4.623958333333333
False,bass-electric,80,37,4.5,4.873958333333333
False,piano,64,61,4.5,4.873958333333333
False,piano,64,64,4.5,4.873958333333333
False,piano,64,68,4.5,4.873958333333333
False,piano,64,49,4.5,4.873958333333333
False,harp,80,64,4.75,4.873958333333333
False,piano,80,42,4.75,4.998958333333333
False,xylophone,96,92,4.875,5.061458333333333
True,guitar-acoustic,96,68,4.875,4.998958333333333
False,bass-electric,80,37,4.875,5.061458333333333
False,piano,64,61,4.875,5.061458333333333
False,piano,64,64,4.875,5.061458333333333
False,piano,64,68,4.875,5.061458333333333
False,piano,64,49,4.875,5.061458333333333
False,harp,80,64,5.0,5.123958333333333
False,harp,80,64,5.125,5.248958333333333
True,guitar-acoustic,96,64,5.25,5.373958333333333
False,piano,80,42,5.25,5.498958333333333
True,guitar-acoustic,96,59,5.375,5.498958333333333
False,xylophone,96,88,5.5,6.498958333333333
True,guitar-acoustic,96,61,5.5,5.873958333333333
False,bass-electric,80,30,5.5,6.498958333333333
False,piano,64,57,5.5,6.498958333333333
False,piano,64,61,5.5,6.498958333333333
False,piano,64,64,5.5,6.498958333333333
False,piano,64,42,5.5,6.498958333333333
False,harp,80,64,5.75,5.873958333333333
False,piano,80,42,5.75,5.998958333333333
True,guitar-acoustic,96,61,5.875,6.248958333333333
False,harp,80,64,5.875,5.998958333333333
False,harp,80,64,6.125,6.248958333333333
True,guitar-acoustic,96,59,6.25,6.498958333333333
False,harp,80,64,6.25,6.373958333333333
False,piano,80,42,6.25,6.498958333333333
False,xylophone,96,88,6.5,6.873958333333333
True,guitar-acoustic,96,64,6.5,6.873958333333333
False,harp,80,71,6.5,6.623958333333333
False,bass-electric,80,35,6.5,6.873958333333333
False,piano,64,57,6.5,6.873958333333333
False,piano,64,61,6.5,6.873958333333333
False,piano,64,64,6.5,6.873958333333333
False,piano,64,47,6.5,6.873958333333333
False,harp,80,64,6.75,6.873958333333333
False,piano,80,42,6.75,6.998958333333333
False,xylophone,96,88,6.875,7.061458333333333
True,guitar-acoustic,96,64,6.875,6.998958333333333
False,bass-electric,80,35,6.875,7.061458333333333
False,piano,64,57,6.875,7.061458333333333
False,piano,64,61,6.875,7.061458333333333
False,piano,64,64,6.875,7.061458333333333
False,piano,64,47,6.875,7.061458333333333
False,harp,80,64,7.0,7.123958333333333
True,guitar-acoustic,96,64,7.125,7.248958333333333
False,harp,80,64,7.125,7.248958333333333
True,guitar-acoustic,96,66,7.25,7.498958333333333
False,piano,80,42,7.25,7.498958333333333
False,xylophone,96,88,7.5,8.498958333333333
True,guitar-acoustic,96,64,7.5,7.873958333333333
False,bass-electric,80,28,7.5,8.498958333333333
False,piano,64,56,7.5,8.498958333333333
False,piano,64,59,7.5,8.498958333333333
False,piano,64,64,7.5,8.498958333333333
False,piano,64,40,7.5,8.498958333333333
False,harp,80,64,7.75,7.873958333333333
False,piano,80,42,7.75,7.998958333333333
True,guitar-acoustic,96,64,7.875,7.998958333333333
False,harp,80,64,7.875,7.998958333333333
True,guitar-acoustic,96,64,8.125,8.248958333333333
False,harp,80,64,8.125,8.248958333333333
True,guitar-acoustic,96,61,8.25,8.498958333333333
False,harp,80,64,8.25,8.373958333333333
False,piano,80,42,8.25,8.498958333333333
False,xylophone,96,92,8.5,8.748958333333333
True,guitar-acoustic,96,68,8.5,8.748958333333333
False,harp,80,71,8.5,8.748958333333333
False,bass-electric,80,37,8.5,8.748958333333333
False,piano,64,61,8.5,8.748958333333333
False,piano,64,64,8.5,8.748958333333333
False,piano,64,68,8.5,8.748958333333333
False,piano,64,49,8.5,8.748958333333333
False,piano,127,42,8.75,8.998958333333333
False,piano,127,38,9.0,9.248958333333333
False,xylophone,96,88,9.5,10.498958333333333
False,trumpet,80,76,9.5,9.873958333333333
False,trombone,80,64,9.5,9.873958333333333
False,tuba,115,33,9.5,9.833333333333334
False,bass-electric,115,33,9.5,9.833333333333334
False,piano,64,61,9.5,10.498958333333333
False,piano,64,64,9.5,10.498958333333333
False,piano,64,69,9.5,10.498958333333333
False,piano,64,33,9.5,10.498958333333333
False,piano,64,45,9.5,10.498958333333333
False,piano,80,36,9.5,9.748958333333333
False,piano,80,49,9.5,9.748958333333333
False,piano,58,54,9.5,9.623958333333333
False,piano,49,54,9.625,9.748958333333333
False,harp,80,64,9.75,9.873958333333333
False,piano,49,54,9.75,9.873958333333333
False,trumpet,80,76,9.875,9.998958333333333
False,trombone,80,64,9.875,9.998958333333333
False,harp,80,64,9.875,9.998958333333333
False,piano,49,54,9.875,9.998958333333333
False,tuba,115,40,10.0,10.333333333333334
False,bass-electric,115,40,10.0,10.333333333333334
False,piano,80,38,10.0,10.248958333333333
False,piano,80,42,10.0,10.248958333333333
False,piano,80,43,10.0,10.248958333333333
False,piano,49,54,10.0,10.123958333333333
False,trumpet,80,78,10.125,10.248958333333333
False,trombone,80,66,10.125,10.248958333333333
False,harp,80,64,10.125,10.248958333333333
False,piano,49,54,10.125,10.248958333333333
False,trumpet,80,79,10.25,10.373958333333333
False,trombone,80,67,10.25,10.373958333333333
False,harp,80,64,10.25,10.373958333333333
False,piano,49,54,10.25,10.373958333333333
False,piano,80,36,10.375,10.498958333333333
False,piano,49,54,10.375,10.498958333333333
False,xylophone,96,92,10.5,11.498958333333333
False,trumpet,96,80,10.5,10.873958333333333
False,trombone,96,68,10.5,10.873958333333333
False,harp,80,71,10.5,10.623958333333333
False,tuba,115,35,10.5,10.833333333333334
False,bass-electric,115,35,10.5,10.833333333333334
False,piano,64,57,10.5,10.873958333333333
False,piano,64,61,10.5,10.873958333333333
False,piano,64,64,10.5,10.873958333333333
False,piano,64,35,10.5,10.873958333333333
False,piano,64,47,10.5,10.873958333333333
False,piano,80,36,10.5,10.748958333333333
False,piano,58,54,10.5,10.623958333333333
False,piano,49,54,10.625,10.748958333333333
False,harp,80,64,10.75,10.873958333333333
False,piano,80,36,10.75,10.998958333333333
False,piano,49,54,10.75,10.873958333333333
False,trumpet,80,76,10.875,11.061458333333333
False,trombone,80,64,10.875,11.061458333333333
False,piano,64,57,10.875,11.061458333333333
False,piano,64,61,10.875,11.061458333333333
False,piano,64,64,10.875,11.061458333333333
False,piano,64,35,10.875,11.061458333333333
False,piano,64,47,10.875,11.061458333333333
False,piano,49,54,10.875,10.998958333333333
False,harp,80,64,11.0,11.123958333333333
False,tuba,115,42,11.0,11.333333333333334
False,bass-electric,115,42,11.0,11.333333333333334
False,piano,80,38,11.0,11.248958333333333
False,piano,80,42,11.0,11.248958333333333
False,piano,80,43,11.0,11.248958333333333
False,piano,49,54,11.0,11.123958333333333
False,harp,80,64,11.125,11.248958333333333
False,piano,49,54,11.125,11.248958333333333
False,trumpet,80,71,11.25,11.373958333333333
False,trombone,80,59,11.25,11.373958333333333
False,piano,49,54,11.25,11.373958333333333
False,trumpet,80,73,11.375,11.498958333333333
False,trombone,80,61,11.375,11.498958333333333
False,piano,49,54,11.375,11.498958333333333
False,xylophone,96,95,11.5,12.498958333333333
False,trumpet,80,76,11.5,11.873958333333333
False,trombone,80,64,11.5,11.873958333333333
False,tuba,115,28,11.5,11.833333333333334
False,bass-electric,115,28,11.5,11.833333333333334
False,piano,64,56,11.5,12.498958333333333
False,piano,64,59,11.5,12.498958333333333
False,piano,64,64,11.5,12.498958333333333
False,piano,64,40,11.5,12.498958333333333
False,piano,64,52,11.5,12.498958333333333
False,piano,80,36,11.5,11.748958333333333
False,piano,58,54,11.5,11.623958333333333
False,piano,49,54,11.625,11.748958333333333
False,harp,80,64,11.75,11.873958333333333
False,piano,49,54,11.75,11.873958333333333
False,trumpet,80,76,11.875,11.998958333333333
False,trombone,80,64,11.875,11.998958333333333
False,harp,80,64,11.875,11.998958333333333
False,piano,49,54,11.875,11.998958333333333
False,tuba,115,40,12.0,12.333333333333334
False,bass-electric,115,40,12.0,12.333333333333334
False,piano,80,38,12.0,12.248958333333333
False,piano,80,42,12.0,12.248958333333333
False,piano,80,43,12.0,12.248958333333333
False,piano,49,54,12.0,12.123958333333333
False,trumpet,80,78,12.125,12.248958333333333
False,trombone,80,66,12.125,12.248958333333333
False,harp,80,64,12.125,12.248958333333333
False,piano,49,54,12.125,12.248958333333333
False,trumpet,80,79,12.25,12.373958333333333
False,trombone,80,67,12.25,12.373958333333333
False,harp,80,64,12.25,12.373958333333333
False,piano,49,54,12.25,12.373958333333333
False,piano,80,36,12.375,12.498958333333333
False,piano,49,54,12.375,12.498958333333333
False,xylophone,96,88,12.5,13.498958333333333
False,trumpet,96,80,12.5,12.873958333333333
False,trombone,96,68,12.5,12.873958333333333
False,harp,80,71,12.5,12.623958333333333
False,tuba,115,37,12.5,12.833333333333334
False,bass-electric,115,37,12.5,12.833333333333334
False,piano,64,61,12.5,12.873958333333333
False,piano,64,64,12.5,12.873958333333333
False,piano,64,68,12.5,12.873958333333333
False,piano,64,37,12.5,12.873958333333333
False,piano,64,49,12.5,12.873958333333333
False,piano,80,36,12.5,12.748958333333333
False,piano,58,54,12.5,12.623958333333333
False,piano,49,54,12.625,12.748958333333333
False,harp,80,64,12.75,12.873958333333333
False,piano,80,36,12.75,12.998958333333333
False,piano,49,54,12.75,12.873958333333333
False,trumpet,80,76,12.875,13.061458333333333
False,trombone,80,64,12.875,13.061458333333333
False,piano,64,61,12.875,13.061458333333333
False,piano,64,64,12.875,13.061458333333333
False,piano,64,68,12.875,13.061458333333333
False,piano,64,37,12.875,13.061458333333333
False,piano,64,49,12.875,13.061458333333333
False,piano,49,54,12.875,12.998958333333333
False,harp,80,64,13.0,13.123958333333333
False,tuba,115,44,13.0,13.333333333333334
False,bass-electric,115,44,13.0,13.333333333333334
False,piano,80,38,13.0,13.248958333333333
False,piano,80,42,13.0,13.248958333333333
False,piano,80,43,13.0,13.248958333333333
False,piano,49,54,13.0,13.123958333333333
False,harp,80,64,13.125,13.248958333333333
False,piano,49,54,13.125,13.248958333333333
False,trumpet,80,73,13.25,13.373958333333333
False,trombone,80,61,13.25,13.373958333333333
False,piano,49,54,13.25,13.373958333333333
False,piano,49,54,13.375,13.498958333333333
False,xylophone,96,88,13.5,14.498958333333333
False,trumpet,80,76,13.5,13.623958333333333
False,trombone,80,64,13.5,13.623958333333333
False,tuba,115,33,13.5,13.833333333333334
False,bass-electric,115,33,13.5,13.833333333333334
False,piano,64,57,13.5,14.498958333333333
False,piano,64,61,13.5,14.498958333333333
False,piano,64,64,13.5,14.498958333333333
False,piano,64,33,13.5,14.498958333333333
False,piano,64,45,13.5,14.498958333333333
False,piano,80,36,13.5,13.748958333333333
False,piano,58,54,13.5,13.623958333333333
False,piano,49,54,13.625,13.748958333333333
False,trumpet,80,73,13.75,13.873958333333333
False,trombone,80,61,13.75,13.873958333333333
False,harp,80,64,13.75,13.873958333333333
False,piano,49,54,13.75,13.873958333333333
False,trumpet,80,76,13.875,14.061458333333333
False,trombone,80,64,13.875,14.061458333333333
False,harp,80,64,13.875,13.998958333333333
False,piano,49,54,13.875,13.998958333333333
False,tuba,115,40,14.0,14.333333333333334
False,bass-electric,115,40,14.0,14.333333333333334
False,piano,80,38,14.0,14.248958333333333
False,piano,80,42,14.0,14.248958333333333
False,piano,80,43,14.0,14.248958333333333
False,piano,49,54,14.0,14.123958333333333
False,harp,80,64,14.125,14.248958333333333
False,piano,49,54,14.125,14.248958333333333
False,trumpet,80,73,14.25,14.373958333333333
False,trombone,80,61,14.25,14.373958333333333
False,harp,80,64,14.25,14.373958333333333
False,piano,49,54,14.25,14.373958333333333
False,piano,80,36,14.375,14.498958333333333
False,piano,49,54,14.375,14.498958333333333
False,xylophone,96,95,14.5,15.498958333333333
False,trumpet,80,76,14.5,14.623958333333333
False,trombone,80,64,14.5,14.623958333333333
False,harp,80,71,14.5,14.623958333333333
False,tuba,115,35,14.5,14.833333333333334
False,bass-electric,115,35,14.5,14.833333333333334
False,piano,64,57,14.5,15.498958333333333
False,piano,64,61,14.5,15.498958333333333
False,piano,64,64,14.5,15.498958333333333
False,piano,64,35,14.5,15.498958333333333
False,piano,64,47,14.5,15.498958333333333
False,piano,80,36,14.5,14.748958333333333
False,piano,58,54,14.5,14.623958333333333
False,piano,49,54,14.625,14.748958333333333
False,trumpet,80,73,14.75,14.873958333333333
False,trombone,80,61,14.75,14.873958333333333
False,harp,80,64,14.75,14.873958333333333
False,piano,80,36,14.75,14.998958333333333
False,piano,49,54,14.75,14.873958333333333
False,trumpet,80,76,14.875,15.061458333333333
False,trombone,80,64,14.875,15.061458333333333
False,piano,49,54,14.875,14.998958333333333
False,harp,80,64,15.0,15.123958333333333
False,tuba,115,42,15.0,15.333333333333334
False,bass-electric,115,42,15.0,15.333333333333334
False,piano,80,38,15.0,15.248958333333333
False,piano,80,42,15.0,15.248958333333333
False,piano,80,43,15.0,15.248958333333333
False,piano,49,54,15.0,15.123958333333333
False,harp,80,64,15.125,15.248958333333333
False,piano,49,54,15.125,15.248958333333333
False,trumpet,80,76,15.25,15.373958333333333
False,trombone,80,64,15.25,15.373958333333333
False,piano,49,54,15.25,15.373958333333333
False,piano,49,54,15.375,15.498958333333333
False,xylophone,96,88,15.5,16.498958333333334
False,trumpet,80,81,15.5,15.623958333333333
False,trombone,80,69,15.5,15.623958333333333
False,tuba,115,28,15.5,15.833333333333334
False,bass-electric,115,28,15.5,15.833333333333334
False,piano,64,56,15.5,16.498958333333334
False,piano,64,59,15.5,16.498958333333334
False,piano,64,64,15.5,16.498958333333334
False,piano,64,40,15.5,16.498958333333334
False,piano,64,52,15.5,16.498958333333334
False,piano,80,36,15.5,15.748958333333333
False,piano,58,54,15.5,15.623958333333333
False,trumpet,80,80,15.625,15.748958333333333
False,trombone,80,68,15.625,15.748958333333333
False,piano,49,54,15.625,15.748958333333333
False,harp,80,64,15.75,15.873958333333333
False,piano,49,54,15.75,15.873958333333333
False,trumpet,80,76,15.875,16.248958333333334
False,trombone,80,64,15.875,16.248958333333334
False,harp,80,64,15.875,15.998958333333333
False,piano,49,54,15.875,15.998958333333333
False,tuba,115,35,16.0,16.333333333333332
False,bass-electric,115,35,16.0,16.333333333333332
False,piano,80,38,16.0,16.248958333333334
False,piano,80,42,16.0,16.248958333333334
False,piano,80,43,16.0,16.248958333333334
False,piano,49,54,16.0,16.123958333333334
False,harp,80,64,16.125,16.248958333333334
False,piano,49,54,16.125,16.248958333333334
False,trumpet,80,73,16.25,16.373958333333334
False,trombone,80,61,16.25,16.373958333333334
False,harp,80,64,16.25,16.373958333333334
False,piano,49,54,16.25,16.373958333333334
False,piano,80,36,16.375,16.498958333333334
False,piano,49,54,16.375,16.498958333333334
False,xylophone,96,92,16.5,17.498958333333334
False,trumpet,80,80,16.5,16.998958333333334
False,trombone,80,68,16.5,16.998958333333334
False,harp,80,71,16.5,16.623958333333334
False,tuba,115,37,16.5,16.833333333333332
False,bass-electric,115,37,16.5,16.833333333333332
False,piano,64,61,16.5,16.748958333333334
False,piano,64,64,16.5,16.748958333333334
False,piano,64,68,16.5,16.748958333333334
False,piano,64,37,16.5,16.748958333333334
False,piano,64,49,16.5,16.748958333333334
False,piano,80,36,16.5,16.748958333333334
False,piano,58,54,16.5,16.623958333333334
False,piano,49,54,16.625,16.748958333333334
False,harp,80,64,16.75,16.873958333333334
False,piano,80,39,16.75,16.998958333333334
False,piano,80,36,16.75,16.998958333333334
False,piano,49,54,16.75,16.873958333333334
False,piano,49,54,16.875,16.998958333333334
False,harp,80,64,17.0,17.123958333333334
False,tuba,115,32,17.0,17.333333333333332
False,bass-electric,115,32,17.0,17.333333333333332
False,piano,80,39,17.0,17.123958333333334
False,piano,80,36,17.0,17.248958333333334
False,piano,49,54,17.0,17.123958333333334
False,harp,80,64,17.125,17.248958333333334
False,piano,49,54,17.125,17.248958333333334
False,piano,49,54,17.25,17.373958333333334
False,piano,49,54,17.375,17.498958333333334
False,xylophone,96,88,17.5,18.498958333333334
False,trumpet,80,76,17.5,17.873958333333334
False,trombone,80,64,17.5,17.873958333333334
False,tuba,115,33,17.5,17.833333333333332
False,bass-electric,115,33,17.5,17.833333333333332
False,piano,64,61,17.5,18.498958333333334
False,piano,64,64,17.5,18.498958333333334
False,piano,64,69,17.5,18.498958333333334
False,piano,64,33,17.5,18.498958333333334
False,piano,64,45,17.5,18.498958333333334
False,piano,80,36,17.5,17.748958333333334
False,piano,80,49,17.5,17.748958333333334
False,piano,58,54,17.5,17.623958333333334
False,piano,49,54,17.625,17.748958333333334
False,harp,80,64,17.75,17.873958333333334
False,piano,49,54,17.75,17.873958333333334
