user_played, instrument_name, velocity, pitch, start (s), end (s)
True,guitar-acoustic,50,64,0.0,0.20979
True,guitar-acoustic,50,71,0.20979,0.41958
False,piano,50,45,0.20979,0.41958
False,piano,50,45,0.41958,0.62937
True,guitar-acoustic,50,64,0.62937,0.83916
False,piano,50,45,0.62937,0.83916
True,guitar-acoustic,50,63,0.83916,1.25874
False,piano,50,47,0.83916,1.04895
False,piano,50,47,1.04895,1.25874
True,guitar-acoustic,50,64,1.25874,1.46853
False,piano,50,47,1.25874,1.46853
True,guitar-acoustic,50,64,1.46853,1.67832
False,piano,50,47,1.46853,1.67832
True,guitar-acoustic,50,64,1.67832,1.88811
False,piano,50,47,1.67832,1.88811
True,guitar-acoustic,50,66,1.88811,2.0979
False,piano,50,49,1.88811,2.0979
True,guitar-acoustic,50,64,2.0979,2.30769
False,piano,50,49,2.0979,2.30769
True,guitar-acoustic,50,69,2.30769,2.51748
False,piano,50,49,2.30769,2.51748
False,piano,50,44,2.51748,2.72727
True,guitar-acoustic,50,68,2.72727,3.1468499999999997
False,piano,50,44,2.72727,2.93706
False,piano,50,44,2.93706,3.1468499999999997
True,guitar-acoustic,50,66,3.1468499999999997,3.35664
False,piano,50,44,3.1468499999999997,3.35664
True,guitar-acoustic,50,64,3.35664,3.56643
False,piano,50,44,3.35664,3.56643
True,guitar-acoustic,50,64,3.56643,3.77622
False,piano,50,45,3.56643,3.77622
True,guitar-acoustic,50,66,3.77622,3.98601
False,piano,50,45,3.77622,3.98601
True,guitar-acoustic,50,68,3.98601,4.1958
False,piano,50,45,3.98601,4.1958
True,guitar-acoustic,50,71,4.1958,4.61538
False,piano,50,47,4.1958,4.40559
False,piano,50,47,4.40559,4.61538
True,guitar-acoustic,50,64,4.61538,4.82517
False,piano,50,47,4.61538,4.82517
True,guitar-acoustic,50,64,4.82517,5.03496
False,piano,50,47,4.82517,5.03496
True,guitar-acoustic,50,73,5.03496,5.45454
False,piano,50,52,5.03496,5.24475
False,piano,50,52,5.24475,5.45454
True,guitar-acoustic,50,71,5.45454,5.66433
False,piano,50,52,5.45454,5.66433
True,guitar-acoustic,50,71,5.66433,5.87412
False,piano,50,52,5.66433,5.87412
True,guitar-acoustic,50,68,5.87412,6.0839099999999995
False,piano,50,52,5.87412,6.0839099999999995
False,piano,50,80,6.0839099999999995,6.293699999999999
True,guitar-acoustic,50,68,6.0839099999999995,6.293699999999999
False,piano,50,52,6.0839099999999995,6.293699999999999
False,piano,50,80,6.293699999999999,6.50349
True,guitar-acoustic,50,71,6.293699999999999,6.50349
False,piano,50,52,6.293699999999999,6.50349
False,piano,50,80,6.50349,6.608385
False,piano,50,52,6.50349,6.71328
False,piano,50,80,6.608385,6.71328
True,guitar-acoustic,50,64,6.71328,6.92307
False,piano,50,52,6.71328,6.92307
False,piano,50,68,6.92307,7.13286
True,guitar-acoustic,50,71,6.92307,7.13286
False,piano,50,33,6.92307,7.13286
False,piano,50,45,7.13286,7.34265
False,piano,50,40,7.13286,7.34265
True,guitar-acoustic,50,64,7.34265,7.55244
False,piano,50,33,7.34265,7.55244
True,guitar-acoustic,50,63,7.55244,7.76223
False,piano,50,45,7.55244,7.76223
False,piano,50,40,7.55244,7.76223
False,piano,50,35,7.76223,7.97202
True,guitar-acoustic,50,64,7.97202,8.18181
False,piano,50,47,7.97202,8.18181
False,piano,50,42,7.97202,8.18181
True,guitar-acoustic,50,64,8.18181,8.3916
False,piano,50,35,8.18181,8.3916
True,guitar-acoustic,50,64,8.3916,8.60139
False,piano,50,42,8.3916,8.60139
False,piano,50,47,8.3916,8.60139
False,piano,50,64,8.60139,8.81118
True,guitar-acoustic,50,66,8.60139,8.81118
False,piano,50,32,8.60139,8.81118
True,guitar-acoustic,50,64,8.81118,9.02097
False,piano,50,39,8.81118,9.02097
False,piano,50,44,8.81118,9.02097
False,piano,50,66,9.02097,9.44055
True,guitar-acoustic,50,69,9.02097,9.44055
False,piano,50,32,9.02097,9.23076
False,piano,50,39,9.23076,9.44055
False,piano,50,44,9.23076,9.44055
False,piano,50,66,9.44055,9.86013
True,guitar-acoustic,50,68,9.44055,9.86013
False,piano,50,37,9.44055,9.65034
False,piano,50,44,9.65034,9.86013
False,piano,50,49,9.65034,9.86013
False,piano,50,64,9.86013,10.06992
True,guitar-acoustic,50,66,9.86013,10.06992
False,piano,50,37,9.86013,10.06992
True,guitar-acoustic,50,64,10.06992,10.27971
False,piano,50,44,10.06992,10.27971
False,piano,50,49,10.06992,10.27971
True,guitar-acoustic,50,64,10.27971,10.69929
False,piano,50,33,10.27971,10.4895
False,piano,50,40,10.4895,10.69929
False,piano,50,45,10.4895,10.69929
False,piano,50,64,10.69929,10.90908
True,guitar-acoustic,50,66,10.69929,10.90908
False,piano,50,33,10.69929,10.90908
True,guitar-acoustic,50,64,10.90908,11.11887
False,piano,50,40,10.90908,11.11887
False,piano,50,45,10.90908,11.11887
False,piano,50,64,11.11887,11.32866
True,guitar-acoustic,50,66,11.11887,11.32866
False,piano,50,35,11.11887,11.32866
True,guitar-acoustic,50,64,11.32866,11.53845
False,piano,50,42,11.32866,11.53845
False,piano,50,47,11.32866,11.53845
False,piano,50,59,11.53845,11.74824
True,guitar-acoustic,50,64,11.53845,11.74824
False,piano,50,35,11.53845,11.74824
False,piano,50,59,11.74824,11.958029999999999
True,guitar-acoustic,50,64,11.74824,11.958029999999999
False,piano,50,42,11.74824,11.958029999999999
False,piano,50,47,11.74824,11.958029999999999
False,piano,50,59,11.958029999999999,12.167819999999999
True,guitar-acoustic,50,64,11.958029999999999,12.167819999999999
False,piano,50,40,11.958029999999999,12.167819999999999
False,piano,50,59,12.167819999999999,12.377609999999999
True,guitar-acoustic,50,64,12.167819999999999,12.377609999999999
False,piano,50,64,12.377609999999999,12.587399999999999
True,guitar-acoustic,50,66,12.377609999999999,12.587399999999999
False,piano,50,64,12.587399999999999,12.797189999999999
True,guitar-acoustic,50,68,12.587399999999999,12.797189999999999
False,piano,50,76,12.797189999999999,13.21677
False,piano,50,66,12.797189999999999,13.21677
False,piano,50,68,12.797189999999999,13.21677
True,guitar-acoustic,50,71,12.797189999999999,13.21677
False,piano,50,40,12.797189999999999,13.00698
False,piano,50,65,13.00698,13.03320375
