user_played, instrument_name, velocity, pitch, start (s), end (s)
False,bass-electric,120,35,0.0,0.8450700000000001
False,guitar-electric,100,59,0.0,3.3802800000000004
False,guitar-electric,100,47,0.0,3.3802800000000004
False,guitar-electric,100,54,0.0,3.3802800000000004
False,guitar-electric,127,67,0.0,0.21126750000000002
False,piano,127,35,0.0,0.21126750000000002
False,piano,127,57,0.0,0.42253500000000005
False,guitar-electric,127,64,0.21126750000000002,0.42253500000000005
False,piano,127,42,0.21126750000000002,0.31690125
False,piano,127,42,0.31690125,0.42253500000000005
False,guitar-electric,127,67,0.42253500000000005,0.6338025
False,piano,127,35,0.42253500000000005,0.6338025
False,guitar-electric,127,64,0.6338025,0.8450700000000001
False,piano,127,42,0.6338025,0.7394362500000001
False,piano,127,42,0.7394362500000001,0.8450700000000001
False,bass-electric,120,36,0.8450700000000001,1.6901400000000002
False,guitar-electric,127,67,0.8450700000000001,1.0563375000000002
False,piano,127,35,0.8450700000000001,1.0563375000000002
False,piano,127,42,1.0563375000000002,1.1619712500000001
False,guitar-electric,127,69,1.1619712500000001,1.3732387500000003
False,piano,127,42,1.1619712500000001,1.267605
False,piano,127,35,1.267605,1.4788725000000003
False,guitar-electric,127,71,1.4788725000000003,1.6901400000000002
False,piano,127,42,1.4788725000000003,1.5845062500000002
False,piano,127,42,1.5845062500000002,1.6901400000000002
False,bass-electric,120,38,1.6901400000000002,2.53521
False,guitar-electric,127,67,1.6901400000000002,1.9014075000000004
False,piano,127,35,1.6901400000000002,1.9014075000000004
False,piano,127,46,1.6901400000000002,1.9014075000000004
False,piano,127,42,1.9014075000000004,2.0070412500000003
False,guitar-electric,127,69,2.0070412500000003,2.2183087500000003
False,piano,127,42,2.0070412500000003,2.1126750000000003
False,piano,127,46,2.1126750000000003,2.3239425000000002
False,piano,127,35,2.1126750000000003,2.3239425000000002
False,guitar-electric,127,74,2.3239425000000002,2.53521
False,piano,127,42,2.3239425000000002,2.42957625
False,piano,127,42,2.42957625,2.53521
False,bass-electric,120,31,2.53521,3.3802800000000004
False,guitar-electric,127,71,2.53521,2.6408437500000006
False,piano,127,35,2.53521,2.7464775000000006
False,piano,127,46,2.53521,2.7464775000000006
False,guitar-electric,127,72,2.6408437500000006,2.7464775000000006
False,guitar-electric,127,71,2.7464775000000006,2.9577450000000005
False,piano,127,42,2.7464775000000006,2.8521112500000005
False,piano,127,42,2.8521112500000005,2.9577450000000005
False,guitar-electric,127,67,2.9577450000000005,3.1690125000000005
False,piano,127,35,2.9577450000000005,3.1690125000000005
False,piano,127,46,2.9577450000000005,3.1690125000000005
