user_played, instrument_name, velocity, pitch, start (s), end (s)
True,bass-electric,82,36,0.0,0.1578945
True,bass-electric,82,48,0.0,0.1578945
False,cello,100,36,0.0,0.1578945
False,cello,100,48,0.0,0.1578945
False,piano,16,35,0.0,0.1578945
True,bass-electric,82,72,0.631578,0.947367
True,bass-electric,82,75,0.947367,1.263156
True,bass-electric,82,77,1.263156,1.578945
True,bass-electric,82,78,1.578945,1.894734
True,bass-electric,82,77,1.894734,2.210523
True,bass-electric,82,75,2.210523,2.526312
True,bass-electric,82,72,2.526312,2.842101
True,bass-electric,82,70,3.473679,3.6315735
True,bass-electric,82,74,3.6315735,3.789468
True,bass-electric,82,72,3.789468,4.105257
True,bass-electric,82,31,4.736835,4.8947294999999995
True,bass-electric,82,43,4.736835,4.8947294999999995
False,cello,100,31,4.736835,4.8947294999999995
False,cello,100,43,4.736835,4.8947294999999995
False,piano,16,35,4.736835,4.8947294999999995
True,bass-electric,82,36,5.052624,5.2105185
True,bass-electric,82,48,5.052624,5.2105185
False,cello,100,36,5.052624,5.2105185
False,cello,100,48,5.052624,5.2105185
False,piano,16,35,5.052624,5.2105185
True,bass-electric,82,72,5.684202,5.9999910000000005
True,bass-electric,82,75,5.9999910000000005,6.31578
True,bass-electric,82,77,6.31578,6.631569
True,bass-electric,82,78,6.631569,6.947358
True,bass-electric,82,77,6.947358,7.263147
True,bass-electric,82,75,7.263147,7.578936
True,bass-electric,82,78,7.578936,7.894725
True,bass-electric,82,78,8.842092,9.052618
True,bass-electric,82,77,9.052618,9.263143999999999
True,bass-electric,82,75,9.263143999999999,9.47367
True,bass-electric,82,48,9.47367,9.6315645
True,bass-electric,82,60,9.47367,9.6315645
True,bass-electric,82,78,9.47367,9.684196
False,cello,100,48,9.47367,9.6315645
False,cello,100,60,9.47367,9.6315645
False,piano,16,36,9.47367,9.6315645
True,bass-electric,82,77,9.684196,9.894722
False,piano,100,51,9.789458999999999,9.828932624999998
False,piano,16,51,9.828932624999998,9.86840625
False,piano,100,51,9.828932624999998,9.86840625
False,piano,16,51,9.86840625,9.907879874999999
False,piano,100,51,9.86840625,9.907879874999999
True,bass-electric,82,75,9.894722,10.105248
False,piano,16,51,9.907879874999999,9.9473535
False,piano,100,51,9.907879874999999,9.9473535
False,piano,16,51,9.9473535,9.986827125
False,piano,100,51,9.9473535,9.986827125
False,piano,16,51,9.986827125,10.026300749999999
False,piano,100,51,9.986827125,10.026300749999999
False,piano,16,51,10.026300749999999,10.065774374999998
False,piano,100,51,10.026300749999999,10.065774374999998
False,piano,16,51,10.065774374999998,10.105248
False,piano,100,51,10.065774374999998,10.105248
True,bass-electric,82,36,10.105248,10.263142499999999
True,bass-electric,82,48,10.105248,10.263142499999999
False,cello,100,36,10.105248,10.263142499999999
False,cello,100,48,10.105248,10.263142499999999
False,piano,16,51,10.105248,10.263142499999999
False,piano,16,36,10.105248,10.263142499999999
False,piano,16,35,10.105248,10.263142499999999
False,piano,16,42,10.105248,10.263142499999999
False,piano,16,32,10.105248,10.263142499999999
False,piano,16,35,10.105248,10.263142499999999
False,piano,100,51,10.105248,10.263142499999999
False,piano,16,42,10.263142499999999,10.421037
False,piano,16,32,10.263142499999999,10.421037
False,piano,16,42,10.421037,10.460510625
False,piano,16,42,10.421037,10.460510625
False,piano,16,32,10.421037,10.5789315
False,piano,16,46,10.421037,10.5789315
False,piano,16,42,10.460510625,10.499984249999999
False,piano,16,42,10.460510625,10.499984249999999
False,piano,16,42,10.499984249999999,10.539457874999998
False,piano,16,42,10.499984249999999,10.539457874999998
False,piano,16,42,10.539457874999998,10.5789315
False,piano,16,42,10.539457874999998,10.5789315
False,piano,16,42,10.5789315,10.736825999999999
False,piano,16,32,10.5789315,10.736825999999999
True,bass-electric,82,72,10.736825999999999,11.052615000000001
False,piano,16,42,10.736825999999999,10.8947205
False,piano,16,39,10.736825999999999,10.8947205
False,piano,16,32,10.8947205,11.052615000000001
True,bass-electric,82,75,11.052615000000001,11.368404
False,piano,16,42,11.052615000000001,11.2105095
False,piano,16,32,11.052615000000001,11.2105095
False,piano,16,42,11.2105095,11.368404
False,piano,16,32,11.2105095,11.368404
True,bass-electric,82,77,11.368404,11.684193
False,piano,16,42,11.368404,11.526298500000001
False,piano,16,32,11.368404,11.526298500000001
False,piano,16,42,11.526298500000001,11.684193
False,piano,16,32,11.526298500000001,11.684193
True,bass-electric,82,78,11.684193,11.999982000000001
False,piano,16,42,11.684193,11.723666625
False,piano,16,42,11.684193,11.723666625
False,piano,16,32,11.684193,11.8420875
False,piano,16,46,11.684193,11.8420875
False,piano,16,36,11.684193,11.8420875
False,piano,16,35,11.684193,11.8420875
False,piano,50,48,11.684193,11.8420875
False,piano,16,42,11.723666625,11.76314025
False,piano,16,42,11.723666625,11.76314025
False,piano,16,42,11.76314025,11.802613874999999
False,piano,16,42,11.76314025,11.802613874999999
False,piano,16,42,11.802613874999999,11.8420875
False,piano,16,42,11.802613874999999,11.8420875
False,piano,16,42,11.8420875,11.999982000000001
False,piano,16,32,11.8420875,11.999982000000001
True,bass-electric,82,77,11.999982000000001,12.315771
False,piano,16,42,11.999982000000001,12.1578765
False,piano,16,39,11.999982000000001,12.1578765
False,piano,16,42,12.1578765,12.315771
False,piano,16,32,12.1578765,12.315771
True,bass-electric,82,75,12.315771,12.63156
False,piano,16,42,12.315771,12.473665500000001
False,piano,16,32,12.315771,12.473665500000001
False,piano,16,42,12.473665500000001,12.63156
False,piano,16,32,12.473665500000001,12.63156
True,bass-electric,82,72,12.63156,12.947349
False,piano,16,42,12.63156,12.7894545
False,piano,16,32,12.63156,12.7894545
False,piano,16,36,12.63156,12.7894545
False,piano,16,35,12.63156,12.7894545
False,piano,50,48,12.63156,12.7894545
False,piano,16,42,12.7894545,12.947349
False,piano,16,32,12.7894545,12.947349
False,piano,16,42,12.947349,13.1052435
False,piano,16,46,12.947349,13.1052435
False,piano,16,32,12.947349,13.1052435
False,piano,16,42,13.1052435,13.263138
False,piano,16,32,13.1052435,13.263138
False,piano,16,42,13.263138,13.4210325
False,piano,16,39,13.263138,13.4210325
False,piano,16,32,13.4210325,13.578927
True,bass-electric,82,70,13.578927,13.7368215
False,piano,16,42,13.578927,13.7368215
False,piano,16,32,13.578927,13.7368215
True,bass-electric,82,74,13.7368215,13.894716
False,piano,16,42,13.7368215,13.894716
False,piano,16,32,13.7368215,13.894716
True,bass-electric,82,72,13.894716,14.210505
False,piano,16,42,13.894716,14.0526105
False,piano,16,32,13.894716,14.0526105
False,piano,16,42,14.0526105,14.092084125
False,piano,16,42,14.0526105,14.092084125
False,piano,16,32,14.0526105,14.210505
False,piano,16,42,14.092084125,14.131557749999999
False,piano,16,42,14.092084125,14.131557749999999
False,piano,16,42,14.131557749999999,14.171031374999998
False,piano,16,42,14.131557749999999,14.171031374999998
False,piano,16,42,14.171031374999998,14.210505
False,piano,16,42,14.171031374999998,14.210505
False,piano,16,46,14.210505,14.3683995
False,piano,16,42,14.210505,14.3683995
False,piano,16,32,14.210505,14.3683995
