user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,80,65,0.0,0.29916666666666664
True,piano,80,70,0.0,0.29916666666666664
True,piano,80,73,0.0,0.29916666666666664
True,piano,80,77,0.0,0.29916666666666664
False,piano,80,34,0.0,0.5991666666666667
False,piano,80,46,0.0,0.5991666666666667
True,piano,80,65,0.3,0.5991666666666667
True,piano,80,73,0.3,0.5991666666666667
True,piano,80,65,0.6,0.8991666666666667
True,piano,80,70,0.6,0.8991666666666667
False,piano,80,34,0.6,1.1991666666666667
False,piano,80,46,0.6,1.1991666666666667
True,piano,80,61,0.9,1.1991666666666667
True,piano,80,65,0.9,1.1991666666666667
True,piano,80,65,1.2,1.3991666666666667
True,piano,80,75,1.2,1.3991666666666667
False,piano,80,34,1.2,1.5991666666666666
False,piano,80,46,1.2,1.5991666666666666
True,piano,80,70,1.4,1.5991666666666666
True,piano,80,70,1.6,1.7991666666666668
True,piano,80,80,1.6,1.7991666666666668
True,piano,49,58,1.8,1.9991666666666668
True,piano,49,65,2.0,2.0991666666666666
True,piano,49,63,2.1,2.3991666666666664
True,piano,49,60,2.4,2.5991666666666666
True,piano,49,69,2.6,2.7991666666666664
True,piano,49,75,2.8,2.9991666666666665
True,piano,49,69,3.0,3.1991666666666663
True,piano,49,65,3.2,3.3991666666666664
True,piano,49,58,3.4,3.5991666666666666
True,piano,49,65,3.4,3.5991666666666666
True,piano,49,72,3.4,3.5991666666666666
True,piano,49,73,3.6,3.9991666666666665
True,piano,49,70,4.0,4.099166666666666
True,piano,49,69,4.1,4.199166666666667
True,piano,49,77,4.2,4.399166666666667
True,piano,49,75,4.4,4.599166666666666
True,piano,49,72,4.6,4.699166666666667
True,piano,49,69,4.7,4.799166666666666
True,piano,80,65,4.8,5.099166666666666
True,piano,80,70,4.8,5.099166666666666
True,piano,80,73,4.8,5.099166666666666
True,piano,80,77,4.8,5.099166666666666
False,piano,80,34,4.8,5.099166666666666
False,piano,80,46,4.8,5.099166666666666
True,piano,80,65,5.1,5.399166666666667
True,piano,80,70,5.1,5.399166666666667
True,piano,80,73,5.1,5.399166666666667
True,piano,80,77,5.1,5.399166666666667
False,piano,80,34,5.1,5.399166666666667
False,piano,80,46,5.1,5.399166666666667
True,piano,80,65,5.4,5.599166666666666
True,piano,80,70,5.4,5.599166666666666
True,piano,80,73,5.4,5.599166666666666
True,piano,80,77,5.4,5.599166666666666
False,piano,80,34,5.4,5.599166666666666
False,piano,80,46,5.4,5.599166666666666
True,piano,80,72,5.6,5.899166666666667
True,piano,80,77,5.6,5.899166666666667
True,piano,80,81,5.6,5.899166666666667
True,piano,80,84,5.6,5.899166666666667
False,piano,80,29,5.6,5.899166666666667
False,piano,80,41,5.6,5.899166666666667
True,piano,80,72,5.9,6.199166666666667
True,piano,80,77,5.9,6.199166666666667
True,piano,80,81,5.9,6.199166666666667
True,piano,80,84,5.9,6.199166666666667
False,piano,80,29,5.9,6.199166666666667
False,piano,80,41,5.9,6.199166666666667
True,piano,80,72,6.2,6.399166666666667
True,piano,80,77,6.2,6.399166666666667
True,piano,80,81,6.2,6.399166666666667
True,piano,80,84,6.2,6.399166666666667
False,piano,80,29,6.2,7.199166666666667
False,piano,80,41,6.2,7.199166666666667
True,piano,49,75,6.6,6.799166666666666
True,piano,49,78,6.8,7.199166666666667
False,piano,49,42,7.2,8.799166666666668
False,piano,49,49,7.2,8.799166666666668
False,piano,49,58,7.2,8.799166666666668
True,piano,49,61,7.8,7.9991666666666665
True,piano,49,73,8.0,8.599166666666667
True,piano,49,72,8.6,8.699166666666667
True,piano,49,70,8.7,8.799166666666668
True,piano,49,68,8.8,9.399166666666668
False,piano,49,42,8.8,10.399166666666668
False,piano,49,49,8.8,10.399166666666668
False,piano,49,58,8.8,10.399166666666668
True,piano,49,65,9.4,9.599166666666667
True,piano,49,65,9.6,9.799166666666668
True,piano,49,66,9.8,9.999166666666667
True,piano,49,68,10.0,10.199166666666667
True,piano,49,61,10.2,10.399166666666668
True,piano,49,63,10.4,10.799166666666668
False,piano,49,37,10.4,11.999166666666667
False,piano,49,44,10.4,11.999166666666667
False,piano,49,53,10.4,11.999166666666667
True,piano,49,65,10.8,10.999166666666667
True,piano,49,66,11.0,11.399166666666668
True,piano,49,65,11.4,11.799166666666668
True,piano,49,65,11.8,12.399166666666668
False,piano,49,37,12.0,12.799166666666668
False,piano,49,44,12.0,12.799166666666668
False,piano,49,49,12.0,12.799166666666668
False,piano,49,53,12.8,13.599166666666667
False,piano,49,42,13.6,14.399166666666668
False,piano,49,49,13.6,14.399166666666668
False,piano,49,58,13.6,14.399166666666668
True,piano,49,61,14.2,14.399166666666668
True,piano,49,73,14.4,14.999166666666667
False,piano,49,58,14.4,15.199166666666667
True,piano,49,72,15.0,15.099166666666667
True,piano,49,70,15.1,15.199166666666667
True,piano,49,68,15.2,15.799166666666668
False,piano,49,42,15.2,15.999166666666667
False,piano,49,49,15.2,15.999166666666667
False,piano,49,58,15.2,15.999166666666667
True,piano,49,65,15.8,15.899166666666668
True,piano,49,65,15.9,15.999166666666667
True,piano,49,65,16.0,16.199166666666667
False,piano,49,58,16.0,16.799166666666668
True,piano,49,66,16.2,16.399166666666666
True,piano,49,68,16.4,16.59916666666667
True,piano,49,61,16.6,16.799166666666668
True,piano,49,63,16.8,17.09916666666667
False,piano,49,37,16.8,17.59916666666667
False,piano,49,44,16.8,17.59916666666667
False,piano,49,49,16.8,17.59916666666667
True,piano,49,61,17.1,17.199166666666667
True,piano,49,63,17.2,17.499166666666667
True,piano,49,61,17.5,17.59916666666667
True,piano,49,63,17.6,17.899166666666666
False,piano,49,53,17.6,18.399166666666666
True,piano,49,61,17.9,17.999166666666667
True,piano,49,63,18.0,18.299166666666668
True,piano,49,65,18.3,18.399166666666666
True,piano,49,63,18.4,18.59916666666667
False,piano,49,37,18.4,19.199166666666667
False,piano,49,44,18.4,19.199166666666667
False,piano,49,49,18.4,19.199166666666667
True,piano,49,61,18.6,18.799166666666668
True,piano,49,58,18.8,18.999166666666667
True,piano,49,61,19.0,19.399166666666666
False,piano,52,37,19.2,19.399166666666666
True,piano,55,61,19.4,19.999166666666667
False,piano,55,49,19.4,19.59916666666667
False,piano,58,44,19.6,19.799166666666668
False,piano,61,37,19.8,19.999166666666667
False,piano,64,42,20.0,20.199166666666667
False,piano,64,49,20.2,20.399166666666666
False,piano,64,58,20.4,20.59916666666667
True,piano,64,61,20.6,20.799166666666668
False,piano,64,49,20.6,20.799166666666668
True,piano,64,73,20.8,21.399166666666666
False,piano,64,58,20.8,20.999166666666667
False,piano,64,49,21.0,21.199166666666667
False,piano,64,56,21.2,21.399166666666666
True,piano,64,72,21.4,21.499166666666667
False,piano,64,49,21.4,21.59916666666667
True,piano,64,70,21.5,21.59916666666667
True,piano,64,63,21.6,22.199166666666667
True,piano,64,68,21.6,22.199166666666667
False,piano,64,42,21.6,21.799166666666668
False,piano,64,49,21.8,21.999166666666667
False,piano,64,58,22.0,22.199166666666667
True,piano,64,65,22.2,22.399166666666666
False,piano,64,49,22.2,22.399166666666666
True,piano,64,65,22.4,22.59916666666667
False,piano,64,58,22.4,22.59916666666667
True,piano,64,66,22.6,22.799166666666668
False,piano,64,49,22.6,22.799166666666668
True,piano,64,68,22.8,22.999166666666667
False,piano,64,56,22.8,22.999166666666667
True,piano,64,61,23.0,23.199166666666667
False,piano,64,49,23.0,23.199166666666667
True,piano,64,60,23.2,23.59916666666667
True,piano,64,63,23.2,23.59916666666667
False,piano,64,37,23.2,23.399166666666666
False,piano,64,44,23.4,23.59916666666667
True,piano,64,65,23.6,23.799166666666668
False,piano,64,53,23.6,23.799166666666668
True,piano,64,63,23.8,24.199166666666667
True,piano,64,66,23.8,24.199166666666667
False,piano,64,44,23.8,23.999166666666667
False,piano,64,53,24.0,24.199166666666667
True,piano,64,65,24.2,24.59916666666667
False,piano,64,44,24.2,24.399166666666666
False,piano,64,49,24.4,24.59916666666667
True,piano,64,61,24.6,25.59916666666667
True,piano,64,65,24.6,25.59916666666667
False,piano,64,44,24.6,24.799166666666668
False,piano,64,37,24.8,24.999166666666667
False,piano,64,44,25.0,25.199166666666667
False,piano,64,53,25.2,25.399166666666666
False,piano,64,44,25.4,25.59916666666667
True,piano,64,61,25.6,25.799166666666668
False,piano,64,53,25.6,25.799166666666668
True,piano,64,63,25.8,25.999166666666667
False,piano,64,44,25.8,25.999166666666667
True,piano,64,61,26.0,26.199166666666667
True,piano,64,65,26.0,26.199166666666667
False,piano,64,49,26.0,26.199166666666667
True,piano,64,61,26.2,26.999166666666667
True,piano,64,65,26.2,26.999166666666667
False,piano,64,44,26.2,26.399166666666666
False,piano,64,42,26.4,26.59916666666667
False,piano,64,49,26.6,26.799166666666668
False,piano,64,58,26.8,26.999166666666667
True,piano,64,61,27.0,27.199166666666667
False,piano,64,49,27.0,27.199166666666667
True,piano,64,61,27.2,27.399166666666666
False,piano,64,58,27.2,27.399166666666666
True,piano,64,63,27.4,27.59916666666667
False,piano,64,49,27.4,27.59916666666667
True,piano,64,65,27.6,27.799166666666668
False,piano,64,58,27.6,27.799166666666668
True,piano,64,63,27.8,28.799166666666668
True,piano,64,68,27.8,28.799166666666668
False,piano,64,49,27.8,27.999166666666667
False,piano,64,44,28.0,28.199166666666667
