user_played, instrument_name, velocity, pitch, start (s), end (s)
True,saxophone,106,65,0.0,0.087890625
True,saxophone,106,69,0.0,0.087890625
True,saxophone,106,62,0.0,0.087890625
False,saxophone,102,69,0.0,0.087890625
False,saxophone,95,65,0.0,0.09765625
False,saxophone,95,69,0.0,0.09765625
False,saxophone,95,62,0.0,0.09765625
False,bass-electric,79,38,0.0,0.21484375
False,clarinet,93,57,0.0,0.078125
False,piano,82,36,0.0,0.068359375
True,saxophone,106,69,0.234375,0.322265625
True,saxophone,106,74,0.234375,0.322265625
True,saxophone,106,65,0.234375,0.322265625
False,saxophone,102,74,0.234375,0.322265625
False,saxophone,95,69,0.234375,0.322265625
False,saxophone,95,74,0.234375,0.322265625
False,saxophone,95,65,0.234375,0.322265625
False,clarinet,93,62,0.234375,0.33203125
False,piano,99,42,0.234375,0.302734375
True,saxophone,106,65,0.46875,0.556640625
True,saxophone,106,69,0.46875,0.556640625
True,saxophone,106,62,0.46875,0.556640625
False,saxophone,102,69,0.46875,0.556640625
False,saxophone,95,65,0.46875,0.556640625
False,saxophone,95,69,0.46875,0.556640625
False,saxophone,95,62,0.46875,0.556640625
False,bass-electric,79,45,0.46875,0.68359375
False,clarinet,93,57,0.46875,0.60546875
False,piano,85,36,0.46875,0.537109375
True,saxophone,106,69,0.703125,0.791015625
True,saxophone,106,74,0.703125,0.791015625
True,saxophone,106,65,0.703125,0.791015625
False,saxophone,102,74,0.703125,0.791015625
False,saxophone,95,69,0.703125,0.791015625
False,saxophone,95,74,0.703125,0.791015625
False,saxophone,95,65,0.703125,0.791015625
False,clarinet,93,62,0.703125,0.830078125
False,piano,94,42,0.703125,0.771484375
True,saxophone,106,65,0.9375,1.0546875
True,saxophone,106,69,0.9375,1.0546875
True,saxophone,106,62,0.9375,1.07421875
False,saxophone,102,69,0.9375,1.07421875
False,saxophone,95,65,0.9375,1.0546875
False,saxophone,95,69,0.9375,1.0546875
False,saxophone,95,62,0.9375,1.07421875
False,bass-electric,79,38,0.9375,1.15234375
False,clarinet,93,57,0.9375,1.025390625
False,piano,91,36,0.9375,1.005859375
True,saxophone,106,69,1.0546875,1.07421875
True,saxophone,106,65,1.0546875,1.07421875
True,saxophone,106,74,1.0546875,1.19140625
False,saxophone,102,74,1.0546875,1.19140625
False,saxophone,95,69,1.0546875,1.07421875
False,saxophone,95,65,1.0546875,1.07421875
False,saxophone,95,74,1.0546875,1.19140625
False,clarinet,93,62,1.0546875,1.171875
False,piano,99,42,1.171875,1.240234375
True,saxophone,106,65,1.2890625,1.54296875
True,saxophone,106,69,1.2890625,1.54296875
True,saxophone,106,62,1.2890625,1.54296875
False,saxophone,102,69,1.2890625,1.54296875
False,saxophone,95,65,1.2890625,1.54296875
False,saxophone,95,69,1.2890625,1.54296875
False,saxophone,95,62,1.2890625,1.54296875
False,clarinet,93,57,1.2890625,1.62109375
False,bass-electric,79,45,1.40625,1.611328125
False,piano,91,36,1.40625,1.474609375
True,saxophone,106,68,1.5234375,1.66015625
True,saxophone,106,64,1.5234375,1.66015625
False,saxophone,102,68,1.5234375,1.66015625
False,saxophone,102,62,1.5234375,1.66015625
False,saxophone,95,68,1.5234375,1.66015625
False,saxophone,95,64,1.5234375,1.66015625
True,saxophone,106,65,1.640625,1.77734375
True,saxophone,106,69,1.640625,1.77734375
True,saxophone,106,62,1.640625,1.77734375
False,saxophone,102,69,1.640625,1.77734375
False,saxophone,95,65,1.640625,1.77734375
False,saxophone,95,69,1.640625,1.77734375
False,saxophone,95,62,1.640625,1.77734375
False,piano,99,42,1.640625,1.708984375
True,saxophone,106,65,1.875,2.01171875
True,saxophone,106,69,1.875,2.01171875
True,saxophone,106,62,1.875,2.01171875
False,saxophone,102,69,1.875,2.01171875
False,saxophone,95,65,1.875,2.01171875
False,saxophone,95,69,1.875,2.01171875
False,saxophone,95,62,1.875,2.01171875
False,bass-electric,79,38,1.875,2.08984375
False,clarinet,93,57,1.875,1.953125
False,piano,95,36,1.875,1.943359375
True,saxophone,106,64,1.9921875,2.12890625
True,saxophone,106,68,1.9921875,2.12890625
True,saxophone,106,61,1.9921875,2.12890625
False,saxophone,102,68,1.9921875,2.12890625
False,saxophone,95,64,1.9921875,2.12890625
False,saxophone,95,68,1.9921875,2.12890625
False,saxophone,95,61,1.9921875,2.12890625
True,saxophone,106,65,2.109375,2.24609375
True,saxophone,106,69,2.109375,2.24609375
True,saxophone,106,62,2.109375,2.24609375
False,saxophone,102,69,2.109375,2.24609375
False,saxophone,95,65,2.109375,2.24609375
False,saxophone,95,69,2.109375,2.24609375
False,saxophone,95,62,2.109375,2.24609375
False,clarinet,93,57,2.109375,2.373046875
False,piano,100,42,2.109375,2.177734375
True,saxophone,106,64,2.2265625,2.36328125
True,saxophone,106,67,2.2265625,2.36328125
True,saxophone,106,60,2.2265625,2.36328125
False,saxophone,102,67,2.2265625,2.36328125
False,saxophone,95,64,2.2265625,2.36328125
False,saxophone,95,67,2.2265625,2.36328125
False,saxophone,95,60,2.2265625,2.36328125
False,bass-electric,79,36,2.34375,2.55859375
False,piano,91,36,2.34375,2.412109375
True,saxophone,106,63,2.4609375,2.59765625
True,saxophone,106,66,2.4609375,2.59765625
True,saxophone,106,59,2.4609375,2.59765625
False,saxophone,102,66,2.4609375,2.59765625
False,saxophone,95,63,2.4609375,2.59765625
False,saxophone,95,66,2.4609375,2.59765625
False,saxophone,95,59,2.4609375,2.59765625
True,saxophone,106,64,2.578125,2.71484375
True,saxophone,106,67,2.578125,2.71484375
True,saxophone,106,60,2.578125,2.71484375
False,saxophone,102,67,2.578125,2.71484375
False,saxophone,95,64,2.578125,2.71484375
False,saxophone,95,67,2.578125,2.71484375
False,saxophone,95,60,2.578125,2.71484375
False,clarinet,93,55,2.578125,2.724609375
False,piano,100,42,2.578125,2.646484375
True,saxophone,106,61,2.6953125,2.783203125
True,saxophone,106,65,2.6953125,2.783203125
True,saxophone,106,58,2.6953125,2.783203125
False,saxophone,102,65,2.6953125,2.783203125
False,saxophone,95,61,2.6953125,2.783203125
False,saxophone,95,65,2.6953125,2.783203125
False,saxophone,95,58,2.6953125,2.783203125
True,saxophone,106,60,2.8125,3.134765625
True,saxophone,106,65,2.8125,3.134765625
True,saxophone,106,57,2.8125,3.134765625
False,saxophone,102,65,2.8125,3.134765625
False,saxophone,95,60,2.8125,3.14453125
False,saxophone,95,65,2.8125,3.14453125
False,saxophone,95,57,2.8125,3.14453125
False,bass-electric,79,41,2.8125,3.02734375
False,clarinet,93,53,2.8125,3.115234375
False,piano,89,36,2.8125,2.880859375
False,piano,100,42,3.046875,3.115234375
True,saxophone,106,57,3.1640625,3.720703125
True,saxophone,106,62,3.1640625,3.720703125
True,saxophone,106,53,3.1640625,3.720703125
False,saxophone,102,62,3.1640625,3.720703125
False,saxophone,95,57,3.1640625,3.720703125
False,saxophone,95,62,3.1640625,3.720703125
False,saxophone,95,53,3.1640625,3.720703125
False,clarinet,93,50,3.1640625,3.45703125
False,bass-electric,79,48,3.28125,3.49609375
False,piano,91,36,3.28125,3.349609375
False,piano,100,42,3.515625,3.583984375
True,saxophone,106,65,3.75,3.837890625
True,saxophone,106,69,3.75,3.837890625
True,saxophone,106,62,3.75,3.837890625
False,saxophone,102,69,3.75,3.837890625
False,saxophone,95,65,3.75,3.84765625
False,saxophone,95,69,3.75,3.84765625
False,saxophone,95,62,3.75,3.84765625
False,bass-electric,79,38,3.75,3.96484375
False,clarinet,93,57,3.75,3.84765625
False,piano,97,36,3.75,3.818359375
True,saxophone,106,69,3.984375,4.072265625
True,saxophone,106,74,3.984375,4.072265625
True,saxophone,106,65,3.984375,4.072265625
False,saxophone,102,74,3.984375,4.072265625
False,saxophone,95,69,3.984375,4.072265625
False,saxophone,95,74,3.984375,4.072265625
False,saxophone,95,65,3.984375,4.072265625
False,clarinet,93,62,3.984375,4.12109375
