user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,49,64,0.0,1.5576171875
True,piano,49,68,0.0,1.5576171875
False,piano,49,49,0.0,0.8896484375
False,piano,49,59,0.0,0.8896484375
False,piano,49,52,0.9375,1.2705078125
False,piano,49,52,1.2890625,1.6220703125
True,piano,49,59,1.640625,1.8623046875
True,piano,49,63,1.640625,1.8623046875
False,piano,49,45,1.640625,2.7529296875
True,piano,49,64,1.875,2.7646484375
True,piano,49,66,2.8125,3.7021484375
False,piano,49,52,2.8125,3.1455078125
False,piano,49,52,3.1640625,3.4970703125
False,piano,49,52,3.515625,3.7373046875
True,piano,49,66,3.75,6.8662109375
True,piano,49,71,3.75,6.8662109375
False,piano,49,52,3.75,4.6396484375
False,piano,49,59,3.75,4.6396484375
False,piano,49,56,4.6875,5.0205078125
False,piano,49,56,5.0390625,5.3720703125
False,piano,49,56,5.390625,7.3935546875
True,piano,49,63,7.03125,7.2529296875
True,piano,49,64,7.265625,7.4873046875
True,piano,49,64,7.5,9.0576171875
True,piano,49,71,7.5,9.0576171875
False,piano,49,49,7.5,8.3896484375
False,piano,49,59,7.5,8.3896484375
False,piano,52,52,8.4375,8.7705078125
False,piano,54,52,8.7890625,9.1220703125
True,piano,55,59,9.140625,10.9208984375
True,piano,55,64,9.140625,10.9208984375
False,piano,55,45,9.140625,10.2529296875
False,piano,60,52,10.3125,10.6455078125
False,piano,62,52,10.6640625,10.9970703125
True,piano,63,64,11.015625,11.2373046875
False,piano,63,52,11.015625,11.2373046875
True,piano,64,75,11.25,11.9169921875
False,piano,64,52,11.25,14.3662109375
False,piano,64,59,11.25,14.3662109375
False,piano,64,64,11.25,14.3662109375
True,piano,67,76,11.953125,14.4013671875
False,piano,80,37,15.0,15.2216796875
False,piano,80,49,15.234375,15.4560546875
True,piano,80,78,15.46875,15.6904296875
False,piano,80,56,15.46875,15.6904296875
True,piano,80,80,15.703125,15.9248046875
False,piano,80,49,15.703125,15.9248046875
True,piano,80,80,15.9375,16.0537109375
False,piano,80,61,15.9375,16.1591796875
True,piano,80,76,16.171875,16.3935546875
False,piano,80,49,16.171875,16.3935546875
True,piano,80,76,16.40625,16.6279296875
False,piano,80,56,16.40625,16.6279296875
True,piano,80,76,16.640625,17.0849609375
False,piano,80,49,16.640625,16.8623046875
False,piano,80,33,16.875,17.0966796875
True,piano,80,75,17.109375,17.7763671875
False,piano,80,45,17.109375,17.3310546875
False,piano,80,52,17.34375,17.5654296875
False,piano,80,45,17.578125,17.7998046875
True,piano,80,76,17.8125,18.0341796875
False,piano,80,57,17.8125,18.0341796875
False,piano,80,45,18.046875,18.2685546875
True,piano,80,78,18.28125,18.5029296875
False,piano,80,52,18.28125,18.5029296875
True,piano,80,80,18.515625,18.9599609375
False,piano,80,45,18.515625,18.7373046875
False,piano,80,40,18.75,18.9716796875
False,piano,80,52,18.984375,19.2060546875
True,piano,80,81,19.21875,19.4404296875
False,piano,80,59,19.21875,19.4404296875
True,piano,80,80,19.453125,19.8974609375
False,piano,80,52,19.453125,19.6748046875
False,piano,80,64,19.6875,19.9091796875
True,piano,80,76,19.921875,20.3662109375
False,piano,80,52,19.921875,20.1435546875
False,piano,80,59,20.15625,20.3779296875
True,piano,80,78,20.390625,20.8349609375
False,piano,80,52,20.390625,20.6123046875
False,piano,80,40,20.625,20.8466796875
False,piano,80,52,20.859375,21.0810546875
True,piano,80,78,20.9765625,21.3095703125
True,piano,80,83,20.9765625,21.3095703125
False,piano,80,59,21.09375,21.3154296875
True,piano,80,78,21.328125,21.7724609375
True,piano,80,83,21.328125,21.7724609375
False,piano,80,52,21.328125,21.5498046875
False,piano,80,64,21.5625,21.7841796875
True,piano,80,76,21.796875,22.0185546875
False,piano,80,52,21.796875,22.0185546875
True,piano,80,73,22.03125,22.2529296875
False,piano,80,59,22.03125,22.2529296875
True,piano,80,75,22.265625,22.4873046875
False,piano,80,52,22.265625,22.4873046875
False,piano,80,37,22.5,22.7216796875
False,piano,80,49,22.734375,22.9560546875
True,piano,80,78,22.96875,23.0322265625
False,piano,80,56,22.96875,23.1904296875
True,piano,80,80,23.033203125,23.4150390625
False,piano,80,49,23.203125,23.4248046875
True,piano,80,80,23.4375,23.6591796875
False,piano,80,61,23.4375,23.6591796875
False,piano,80,49,23.671875,23.8935546875
True,piano,80,76,23.90625,24.1279296875
False,piano,80,56,23.90625,24.1279296875
True,piano,80,76,24.140625,24.5849609375
False,piano,80,49,24.140625,24.3623046875
False,piano,80,33,24.375,24.5966796875
True,piano,80,75,24.609375,25.2763671875
False,piano,80,45,24.609375,24.8310546875
False,piano,80,52,24.84375,25.0654296875
False,piano,80,45,25.078125,25.2998046875
True,piano,80,76,25.3125,25.5341796875
False,piano,80,57,25.3125,25.5341796875
