user_played, instrument_name, velocity, pitch, start (s), end (s)
True,piano,80,71,1.25,1.4864583333333334
True,piano,80,71,1.5,1.7364583333333334
True,piano,80,78,1.75,1.8677083333333333
False,piano,80,74,1.75,2.4614583333333333
False,piano,80,69,1.75,2.4614583333333333
False,piano,80,55,1.75,2.4614583333333333
False,piano,80,43,1.75,3.6489583333333333
True,piano,80,77,1.875,1.9927083333333333
True,piano,80,78,2.0,2.4739583333333335
False,piano,80,74,2.5,3.2114583333333333
False,piano,80,71,2.5,3.2114583333333333
False,piano,80,55,2.5,3.2114583333333333
False,piano,80,74,3.25,3.7239583333333335
False,piano,80,71,3.25,3.7239583333333335
False,piano,80,55,3.25,3.7239583333333335
True,piano,80,78,3.75,4.223958333333333
False,piano,80,73,3.75,4.461458333333334
False,piano,80,71,3.75,4.461458333333334
False,piano,80,55,3.75,4.461458333333334
False,piano,80,45,3.75,5.648958333333334
True,piano,80,78,4.25,4.486458333333333
True,piano,80,76,4.5,4.736458333333333
False,piano,80,73,4.5,5.211458333333334
False,piano,80,71,4.5,5.211458333333334
False,piano,80,55,4.5,5.211458333333334
True,piano,80,76,4.75,4.986458333333333
True,piano,80,74,5.0,5.236458333333333
True,piano,80,73,5.25,5.723958333333333
False,piano,80,73,5.25,5.486458333333333
False,piano,80,71,5.25,5.486458333333333
False,piano,80,55,5.25,5.486458333333333
True,piano,80,71,5.75,5.867708333333334
False,piano,80,74,5.75,6.461458333333334
False,piano,80,71,5.75,6.461458333333334
False,piano,80,55,5.75,6.461458333333334
False,piano,80,43,5.75,7.648958333333334
True,piano,80,73,5.875,5.992708333333334
True,piano,80,71,6.0,6.473958333333333
False,piano,80,74,6.5,7.211458333333334
False,piano,80,71,6.5,7.211458333333334
False,piano,80,55,6.5,7.211458333333334
True,piano,80,71,7.25,7.486458333333333
False,piano,80,74,7.25,7.723958333333333
False,piano,80,71,7.25,7.723958333333333
False,piano,80,55,7.25,7.723958333333333
True,piano,80,71,7.5,7.736458333333333
True,piano,80,78,7.75,8.223958333333334
False,piano,80,73,7.75,8.461458333333333
False,piano,80,71,7.75,8.461458333333333
False,piano,80,55,7.75,8.461458333333333
False,piano,80,45,7.75,9.648958333333333
True,piano,80,78,8.25,8.486458333333333
True,piano,80,76,8.5,8.973958333333334
False,piano,80,73,8.5,9.211458333333333
False,piano,80,71,8.5,9.211458333333333
False,piano,80,55,8.5,9.211458333333333
True,piano,80,74,9.0,9.236458333333333
True,piano,80,73,9.25,9.723958333333334
False,piano,80,73,9.25,9.486458333333333
False,piano,80,71,9.25,9.486458333333333
False,piano,80,55,9.25,9.486458333333333
True,piano,80,71,9.75,9.867708333333333
False,piano,80,74,9.75,10.461458333333333
False,piano,80,71,9.75,10.461458333333333
False,piano,80,55,9.75,10.461458333333333
False,piano,80,43,9.75,11.648958333333333
True,piano,80,73,9.875,9.992708333333333
True,piano,80,71,10.0,10.473958333333334
False,piano,80,74,10.5,11.211458333333333
False,piano,80,71,10.5,11.211458333333333
False,piano,80,55,10.5,11.211458333333333
True,piano,80,67,11.25,11.486458333333333
False,piano,80,74,11.25,11.723958333333334
False,piano,80,71,11.25,11.723958333333334
False,piano,80,55,11.25,11.723958333333334
True,piano,80,74,11.5,11.736458333333333
True,piano,80,73,11.75,12.461458333333333
False,piano,80,76,11.75,12.461458333333333
False,piano,80,73,11.75,12.461458333333333
False,piano,80,57,11.75,12.461458333333333
