user_played, instrument_name, velocity, pitch, start (s), end (s)
True,guitar-electric,113,57,0.0,0.1666666666666665
True,guitar-electric,113,60,0.0,0.1666666666666665
True,guitar-electric,113,63,0.0,0.1666666666666665
True,guitar-electric,113,66,0.0,0.1666666666666665
True,guitar-electric,113,57,1.0,1.1666666666666665
True,guitar-electric,113,60,1.0,1.1666666666666665
True,guitar-electric,113,63,1.0,1.1666666666666665
True,guitar-electric,113,66,1.0,1.1666666666666665
True,guitar-electric,113,57,2.0,2.1666666666666665
True,guitar-electric,113,60,2.0,2.1666666666666665
True,guitar-electric,113,63,2.0,2.1666666666666665
True,guitar-electric,113,66,2.0,2.1666666666666665
True,guitar-electric,113,57,3.0,3.1666666666666665
True,guitar-electric,113,60,3.0,3.1666666666666665
True,guitar-electric,113,63,3.0,3.1666666666666665
True,guitar-electric,113,66,3.0,3.1666666666666665
True,guitar-electric,113,57,4.0,4.1666666666666665
True,guitar-electric,113,60,4.0,4.1666666666666665
True,guitar-electric,113,63,4.0,4.1666666666666665
True,guitar-electric,113,66,4.0,4.1666666666666665
True,guitar-electric,113,57,5.0,5.1666666666666665
True,guitar-electric,113,60,5.0,5.1666666666666665
True,guitar-electric,113,63,5.0,5.1666666666666665
True,guitar-electric,113,66,5.0,5.1666666666666665
True,guitar-electric,113,57,6.0,6.1666666666666665
True,guitar-electric,113,60,6.0,6.1666666666666665
True,guitar-electric,113,63,6.0,6.1666666666666665
True,guitar-electric,113,66,6.0,6.1666666666666665
True,guitar-electric,113,57,7.0,7.1666666666666665
True,guitar-electric,113,60,7.0,7.1666666666666665
True,guitar-electric,113,63,7.0,7.1666666666666665
True,guitar-electric,113,66,7.0,7.1666666666666665
True,guitar-electric,113,57,8.0,8.1666666666666665
True,guitar-electric,113,60,8.0,8.1666666666666665
True,guitar-electric,113,63,8.0,8.1666666666666665
True,guitar-electric,113,66,8.0,8.1666666666666665
True,guitar-electric,113,57,9.0,9.1666666666666665
True,guitar-electric,113,60,9.0,9.1666666666666665
True,guitar-electric,113,63,9.0,9.1666666666666665
True,guitar-electric,113,66,9.0,9.1666666666666665
True,guitar-electric,113,57,10.0,10.1666666666666665
True,guitar-electric,113,60,10.0,10.1666666666666665
True,guitar-electric,113,63,10.0,10.1666666666666665
True,guitar-electric,113,66,10.0,10.1666666666666665
True,guitar-electric,113,57,11.0,11.1666666666666665
True,guitar-electric,113,60,11.0,11.1666666666666665
True,guitar-electric,113,63,11.0,11.1666666666666665
True,guitar-electric,113,66,11.0,11.1666666666666665
True,guitar-electric,113,57,12.0,12.1666666666666665
True,guitar-electric,113,60,12.0,12.1666666666666665
True,guitar-electric,113,63,12.0,12.1666666666666665
True,guitar-electric,113,66,12.0,12.1666666666666665
True,guitar-electric,113,57,13.0,13.1666666666666665
True,guitar-electric,113,60,13.0,13.1666666666666665
True,guitar-electric,113,63,13.0,13.1666666666666665
True,guitar-electric,113,66,13.0,13.1666666666666665
True,guitar-electric,113,57,14.0,14.1666666666666665
True,guitar-electric,113,60,14.0,14.1666666666666665
True,guitar-electric,113,63,14.0,14.1666666666666665
True,guitar-electric,113,66,14.0,14.1666666666666665
True,guitar-electric,113,57,15.0,15.1666666666666665
True,guitar-electric,113,60,15.0,15.1666666666666665
True,guitar-electric,113,63,15.0,15.1666666666666665
True,guitar-electric,113,66,15.0,15.1666666666666665
True,guitar-electric,113,57,16.0,16.1666666666666665
True,guitar-electric,113,60,16.0,16.1666666666666665
True,guitar-electric,113,63,16.0,16.1666666666666665
True,guitar-electric,113,66,16.0,16.1666666666666665
True,guitar-electric,113,57,17.0,17.1666666666666665
True,guitar-electric,113,60,17.0,17.1666666666666665
True,guitar-electric,113,63,17.0,17.1666666666666665
True,guitar-electric,113,66,17.0,17.1666666666666665
True,guitar-electric,113,57,18.0,18.1666666666666665
True,guitar-electric,113,60,18.0,18.1666666666666665
True,guitar-electric,113,63,18.0,18.1666666666666665
True,guitar-electric,113,66,18.0,18.1666666666666665
True,guitar-electric,113,57,19.0,19.1666666666666665
